location,province,geo_type,year,count,level
Gisagara,South,District,2021/22,91.0,Preprimary
Gisagara,South,District,2022/23,93.0,Preprimary
Huye,South,District,2021/22,107.0,Preprimary
Huye,South,District,2022/23,110.0,Preprimary
Kamonyi,South,District,2021/22,149.0,Preprimary
Kamonyi,South,District,2022/23,150.0,Preprimary
Muhanga,South,District,2021/22,149.0,Preprimary
Muhanga,South,District,2022/23,150.0,Preprimary
Nyamagabe,South,District,2021/22,109.0,Preprimary
Nyamagabe,South,District,2022/23,126.0,Preprimary
Nyanza,South,District,2021/22,103.0,Preprimary
Nyanza,South,District,2022/23,104.0,Preprimary
Nyaruguru,South,District,2021/22,102.0,Preprimary
Nyaruguru,South,District,2022/23,102.0,Preprimary
Ruhango,South,District,2021/22,96.0,Preprimary
Ruhango,South,District,2022/23,99.0,Preprimary
South,South,Province,2021/22,906.0,Preprimary
South,South,Province,2022/23,934.0,Preprimary
Karongi,West,District,2021/22,151.0,Preprimary
Karongi,West,District,2022/23,156.0,Preprimary
Ngororero,West,District,2021/22,115.0,Preprimary
Ngororero,West,District,2022/23,116.0,Preprimary
Nyabihu,West,District,2021/22,98.0,Preprimary
Nyabihu,West,District,2022/23,100.0,Preprimary
Nyamasheke,West,District,2021/22,142.0,Preprimary
Nyamasheke,West,District,2022/23,157.0,Preprimary
Rubavu,West,District,2021/22,132.0,Preprimary
Rubavu,West,District,2022/23,147.0,Preprimary
Rusizi,West,District,2021/22,142.0,Preprimary
Rusizi,West,District,2022/23,146.0,Preprimary
Rutsiro,West,District,2021/22,106.0,Preprimary
Rutsiro,West,District,2022/23,112.0,Preprimary
West,West,Province,2021/22,886.0,Preprimary
West,West,Province,2022/23,934.0,Preprimary
Bugesera,East,District,2021/22,132.0,Preprimary
Bugesera,East,District,2022/23,152.0,Preprimary
Gatsibo,East,District,2021/22,175.0,Preprimary
Gatsibo,East,District,2022/23,178.0,Preprimary
Kayonza,East,District,2021/22,62.0,Preprimary
Kayonza,East,District,2022/23,106.0,Preprimary
Kirehe,East,District,2021/22,114.0,Preprimary
Kirehe,East,District,2022/23,117.0,Preprimary
Ngoma,East,District,2021/22,96.0,Preprimary
Ngoma,East,District,2022/23,102.0,Preprimary
Nyagatare,East,District,2021/22,211.0,Preprimary
Nyagatare,East,District,2022/23,250.0,Preprimary
Rwamagana,East,District,2021/22,101.0,Preprimary
Rwamagana,East,District,2022/23,108.0,Preprimary
East,East,Province,2021/22,891.0,Preprimary
East,East,Province,2022/23,1013.0,Preprimary
Burera,North,District,2021/22,124.0,Preprimary
Burera,North,District,2022/23,126.0,Preprimary
Gakenke,North,District,2021/22,131.0,Preprimary
Gakenke,North,District,2022/23,133.0,Preprimary
Gicumbi,North,District,2021/22,131.0,Preprimary
Gicumbi,North,District,2022/23,133.0,Preprimary
Musanze,North,District,2021/22,142.0,Preprimary
Musanze,North,District,2022/23,154.0,Preprimary
Rulindo,North,District,2021/22,109.0,Preprimary
Rulindo,North,District,2022/23,112.0,Preprimary
North,North,Province,2021/22,637.0,Preprimary
North,North,Province,2022/23,658.0,Preprimary
Gasabo,Kigali City,District,2021/22,248.0,Preprimary
Gasabo,Kigali City,District,2022/23,261.0,Preprimary
Kicukiro,Kigali City,District,2021/22,143.0,Preprimary
Kicukiro,Kigali City,District,2022/23,148.0,Preprimary
Nyarugenge,Kigali City,District,2021/22,97.0,Preprimary
Nyarugenge,Kigali City,District,2022/23,103.0,Preprimary
Kigali City,Kigali City,Province,2021/22,488.0,Preprimary
Kigali City,Kigali City,Province,2022/23,512.0,Preprimary
Rwanda,Rwanda,National,2021/22,3808.0,Preprimary
Rwanda,Rwanda,National,2022/23,4051.0,Preprimary
Gisagara,South,District,2021/22,95.0,Primary
Gisagara,South,District,2022/23,95.0,Primary
Huye,South,District,2021/22,111.0,Primary
Huye,South,District,2022/23,112.0,Primary
Kamonyi,South,District,2021/22,142.0,Primary
Kamonyi,South,District,2022/23,144.0,Primary
Muhanga,South,District,2021/22,138.0,Primary
Muhanga,South,District,2022/23,140.0,Primary
Nyamagabe,South,District,2021/22,134.0,Primary
Nyamagabe,South,District,2022/23,135.0,Primary
Nyanza,South,District,2021/22,99.0,Primary
Nyanza,South,District,2022/23,100.0,Primary
Nyaruguru,South,District,2021/22,102.0,Primary
Nyaruguru,South,District,2022/23,102.0,Primary
Ruhango,South,District,2021/22,97.0,Primary
Ruhango,South,District,2022/23,97.0,Primary
South,South,Province,2021/22,918.0,Primary
South,South,Province,2022/23,925.0,Primary
Karongi,West,District,2021/22,153.0,Primary
Karongi,West,District,2022/23,156.0,Primary
Ngororero,West,District,2021/22,116.0,Primary
Ngororero,West,District,2022/23,116.0,Primary
Nyabihu,West,District,2021/22,100.0,Primary
Nyabihu,West,District,2022/23,102.0,Primary
Nyamasheke,West,District,2021/22,160.0,Primary
Nyamasheke,West,District,2022/23,162.0,Primary
Rubavu,West,District,2021/22,123.0,Primary
Rubavu,West,District,2022/23,128.0,Primary
Rusizi,West,District,2021/22,148.0,Primary
Rusizi,West,District,2022/23,149.0,Primary
Rutsiro,West,District,2021/22,112.0,Primary
Rutsiro,West,District,2022/23,113.0,Primary
West,West,Province,2021/22,912.0,Primary
West,West,Province,2022/23,926.0,Primary
Bugesera,East,District,2021/22,153.0,Primary
Bugesera,East,District,2022/23,157.0,Primary
Gatsibo,East,District,2021/22,147.0,Primary
Gatsibo,East,District,2022/23,147.0,Primary
Kayonza,East,District,2021/22,130.0,Primary
Kayonza,East,District,2022/23,142.0,Primary
Kirehe,East,District,2021/22,121.0,Primary
Kirehe,East,District,2022/23,122.0,Primary
Ngoma,East,District,2021/22,102.0,Primary
Ngoma,East,District,2022/23,103.0,Primary
Nyagatare,East,District,2021/22,249.0,Primary
Nyagatare,East,District,2022/23,252.0,Primary
Rwamagana,East,District,2021/22,107.0,Primary
Rwamagana,East,District,2022/23,111.0,Primary
East,East,Province,2021/22,1009.0,Primary
East,East,Province,2022/23,1034.0,Primary
Burera,North,District,2021/22,124.0,Primary
Burera,North,District,2022/23,124.0,Primary
Gakenke,North,District,2021/22,131.0,Primary
Gakenke,North,District,2022/23,132.0,Primary
Gicumbi,North,District,2021/22,129.0,Primary
Gicumbi,North,District,2022/23,130.0,Primary
Musanze,North,District,2021/22,124.0,Primary
Musanze,North,District,2022/23,133.0,Primary
Rulindo,North,District,2021/22,107.0,Primary
Rulindo,North,District,2022/23,110.0,Primary
North,North,Province,2021/22,615.0,Primary
North,North,Province,2022/23,629.0,Primary
Gasabo,Kigali City,District,2021/22,204.0,Primary
Gasabo,Kigali City,District,2022/23,227.0,Primary
Kicukiro,Kigali City,District,2021/22,111.0,Primary
Kicukiro,Kigali City,District,2022/23,124.0,Primary
Nyarugenge,Kigali City,District,2021/22,62.0,Primary
Nyarugenge,Kigali City,District,2022/23,67.0,Primary
Kigali City,Kigali City,Province,2021/22,377.0,Primary
Kigali City,Kigali City,Province,2022/23,418.0,Primary
Rwanda,Rwanda,National,2021/22,3831.0,Primary
Rwanda,Rwanda,National,2022/23,3932.0,Primary
Gisagara,South,District,2021/22,53.0,Secondary
Gisagara,South,District,2022/23,55.0,Secondary
Huye,South,District,2021/22,51.0,Secondary
Huye,South,District,2022/23,51.0,Secondary
Kamonyi,South,District,2021/22,70.0,Secondary
Kamonyi,South,District,2022/23,70.0,Secondary
Muhanga,South,District,2021/22,65.0,Secondary
Muhanga,South,District,2022/23,65.0,Secondary
Nyamagabe,South,District,2021/22,60.0,Secondary
Nyamagabe,South,District,2022/23,60.0,Secondary
Nyanza,South,District,2021/22,60.0,Secondary
Nyanza,South,District,2022/23,60.0,Secondary
Nyaruguru,South,District,2021/22,51.0,Secondary
Nyaruguru,South,District,2022/23,53.0,Secondary
Ruhango,South,District,2021/22,57.0,Secondary
Ruhango,South,District,2022/23,57.0,Secondary
South,South,Province,2021/22,467.0,Secondary
South,South,Province,2022/23,471.0,Secondary
Karongi,West,District,2021/22,93.0,Secondary
Karongi,West,District,2022/23,95.0,Secondary
Ngororero,West,District,2021/22,53.0,Secondary
Ngororero,West,District,2022/23,53.0,Secondary
